name	lbl	full_name
lTHAL	10	Left-Thalamus-Proper
lCAUD	11	Left-Caudate
lPUT	12	Left-Putamen
lPALL	13	Left-Pallidum
lHIPP	17	Left-Hippocampus
lAMYG	18	Left-Amygdala
lACCU	26	Left-Accumbens
rTHAL	49	Right-Thalamus-Proper
rCAUD	50	Right-Caudate
rPUT	51	Right-Putamen
rPALL	52	Right-Pallidum
rHIPP	53	Right-Hippocampus
rAMYG	54	Right-Amygdala
rACCU	58	Right-Accumbens
lcACC	1002	lh_caudalanteriorcingulate
lcMFG	1003	lh_caudalmiddlefrontal
lCUN	1005	lh_cuneus
lENT	1006	lh_entorhinal
lFUS	1007	lh_fusiform
lIPL	1008	lh_inferiorparietal
lITG	1009	lh_inferiortemporal
liCC	1010	lh_isthmuscingulate
lLOG	1011	lh_lateraloccipital
lLOF	1012	lh_lateralorbitofrontal
lLING	1013	lh_lingual
lMOF	1014	lh_medialorbitofrontal
lMTG	1015	lh_middletemporal
lPARH	1016	lh_parahippocampal
lparaC	1017	lh_paracentral
lpOPER	1018	lh_parsopercularis
lpORB	1019	lh_parsorbitalis
lpTRI	1020	lh_parstriangularis
lperiCAL	1021	lh_pericalcarine
lpostC	1022	lh_postcentral
lPCC	1023	lh_posteriorcingulate
lpreC	1024	lh_precentral
lPCUN	1025	lh_precuneus
lrACC	1026	lh_rostralanteriorcingulate
lrMFG	1027	lh_rostralmiddlefrontal
lSFG	1028	lh_superiorfrontal
lSPL	1029	lh_superiorparietal
lSTG	1030	lh_superiortemporal
lSMAR	1031	lh_supramarginal
lTT	1034	lh_transversetemporal
lINS	1035	lh_insula
rcACC	2002	rh_caudalanteriorcingulate
rcMFG	2003	rh_caudalmiddlefrontal
rCUN	2005	rh_cuneus
rENT	2006	rh_entorhinal
rFUS	2007	rh_fusiform
rIPL	2008	rh_inferiorparietal
rITG	2009	rh_inferiortemporal
riCC	2010	rh_isthmuscingulate
rLOG	2011	rh_lateraloccipital
rLOF	2012	rh_lateralorbitofrontal
rLING	2013	rh_lingual
rMOF	2014	rh_medialorbitofrontal
rMTG	2015	rh_middletemporal
rPARH	2016	rh_parahippocampal
rparaC	2017	rh_paracentral
rpOPER	2018	rh_parsopercularis
rpORB	2019	rh_parsorbitalis
rpTRI	2020	rh_parstriangularis
rperiCAL	2021	rh_pericalcarine
rpostC	2022	rh_postcentral
rPCC	2023	rh_posteriorcingulate
rpreC	2024	rh_precentral
rPCUN	2025	rh_precuneus
rrACC	2026	rh_rostralanteriorcingulate
rrMFG	2027	rh_rostralmiddlefrontal
rSFG	2028	rh_superiorfrontal
rSPL	2029	rh_superiorparietal
rSTG	2030	rh_superiortemporal
rSMAR	2031	rh_supramarginal
rTT	2034	rh_transversetemporal
rINS	2035	rh_insula
